id	createdTime	deliveryAddress	phoneNumber	status	customerId	employeeId
1	2022-02-16 12:19:47.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	1
2	2023-02-11 08:59:06.000	123 Main St, Los Angeles, CA 90001	424-123-0001	DELIVERING	1	3
3	2023-03-15 21:13:10.000	123 Main St, Los Angeles, CA 90001	424-123-0001	DELIVERING	1	7
4	2022-06-23 20:53:58.000	123 Main St, Los Angeles, CA 90001	424-123-0001	DELIVERING	1	2
5	2022-11-26 01:55:16.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	2
6	2022-07-06 02:46:33.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	7
7	2023-06-14 10:24:51.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	5
8	2023-07-19 20:16:14.000	123 Main St, Los Angeles, CA 90001	424-123-0001	CONFIRMED	1	3
9	2023-08-27 04:22:29.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	3
10	2023-11-03 06:59:41.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	8
11	2022-08-20 04:44:04.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	5
12	2022-09-12 23:37:51.000	123 Main St, Los Angeles, CA 90001	424-123-0001	INITIALIZING	1	4
13	2022-12-27 19:59:29.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	8
14	2022-03-20 10:50:09.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	6
15	2023-01-07 00:45:05.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	4
16	2022-11-13 02:36:10.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	8
17	2022-12-28 06:04:31.000	123 Main St, Los Angeles, CA 90001	424-123-0001	SUCCESS	1	6
18	2023-11-03 08:28:01.000	123 Main St, Los Angeles, CA 90001	424-123-0001	DELIVERING	1	3
19	2023-12-16 22:07:11.000	123 Main St, Los Angeles, CA 90001	424-123-0001	CANCELED	1	5
